"id","Id_élève","date","Absent","Motif"
"1","22304059","2024-05-01","1","Rendez-vous médical"
"2","22104670","2024-05-02","1","Urgence familiale"
"3","22304715","2024-05-03","1","Congé maladie"
"4","22305104","2024-05-04","1","Problèmes de transport"
"5","22204595","2024-05-05","1","Raisons personnelles"
"6","22304059","2024-05-06","1","Rendez-vous médical"
"7","22104670","2024-05-07","1","Urgence familiale"
"8","22304715","2024-05-08","1","Congé maladie"
"9","22305104","2024-05-09","1","Problèmes de transport"
"10","22204595","2024-05-10","1","Raisons personnelles"
"11","22304902","2024-06-01","1","Rendez-vous médical"
"12","22304902","2024-06-02","1","Problèmes de transport"
"13","22304902","2024-06-03","1","Raisons personnelles"
